TradeDate,Amount_NOK
2019-08-20,20000.0
2019-08-26,-18642.93
2019-08-29,4868.98
2019-08-30,-4597.77
2019-09-03,-1402.52
2019-11-06,18188.14
2019-11-25,0.0
2019-11-27,-18413.0
2019-12-06,18650.77
2019-12-29,0.0
2020-01-02,-18781.44
2020-03-09,30000.0
2020-03-13,17549.75
2020-03-16,-9038.71
2020-03-18,-24482.1
2020-03-20,541.9899999999998
2020-03-27,11191.03
2020-03-30,-21448.38
2020-04-07,25000.0
2020-05-28,-11695.56
2020-06-05,9483.6
2020-06-08,9045.42
2020-07-23,-10734.5
2020-07-27,-12859.0
2020-09-01,-6382.67
2020-09-22,18043.86
2020-09-23,-13158.0
2020-09-28,2000.0
2020-10-05,-2150.54
2020-10-06,-5179.0
2020-10-07,-200.0
2020-10-08,-1200.0
2020-10-16,0.0
2020-10-26,-57.86000000000001
2020-10-28,4000.0
2020-11-03,0.0
2020-11-05,-1005.12
2020-11-10,-525.0
2020-11-11,-975.0
2020-11-25,-525.0
2020-11-26,-375.0
2020-11-27,-600.0
2020-11-30,4000.0
2020-12-04,-700.0
2020-12-07,-940.91
2020-12-10,-525.0
2020-12-11,-975.0
2020-12-17,0.0
2020-12-18,-1340.0
2020-12-21,1240.0
2020-12-24,-300.0
2020-12-28,2000.0
2020-12-30,-825.0
2021-01-03,0.0
2021-01-04,-566.8000000000002
2021-01-05,-491.79
2021-01-06,-2353.1
2021-01-11,-350.0
2021-01-12,4866.43
2021-01-20,2462.5
2021-01-22,-1020.0
2021-01-25,-450.0
2021-01-26,-1050.0
2021-01-28,434.0
2021-01-29,1508.62
2021-02-01,1623.99
2021-02-02,1129.41
2021-02-05,-523.35
2021-02-16,-3608.9
2021-02-18,0.0
2021-02-22,2000.0
2021-02-24,-390.0
2021-02-25,-910.0
2021-02-28,0.0
2021-03-11,19991.88
2021-03-16,-15717.52
2021-03-18,-2585.3
2021-03-22,2000.0
2021-03-24,-260.0
2021-03-25,-1040.0
2021-04-07,-1522.82
2021-04-13,6288.47
2021-04-14,0.0
2021-04-20,2000.0
2021-04-23,0.0
2021-04-26,-460.0
2021-04-27,-1840.0
2021-05-05,-513.16
2021-05-20,2000.0
2021-05-21,306.55
2021-05-24,-690.0
2021-05-25,-1610.0
2021-05-27,-1165.0
2021-06-01,-1125.0
2021-06-07,-4514.635
2021-06-16,12232.78
2021-06-17,-8405.800000000001
2021-06-21,-3171.1000000000004
2021-06-24,-625.0
2021-06-25,-1875.0
2021-07-02,44912.39
2021-07-05,-335.895
2021-07-06,5.859999999999999
2021-07-15,9670.5
2021-07-19,-56201.54
2021-07-20,3609.94
2021-07-21,8247.65
2021-07-23,-16859.89
2021-07-26,-300.0
2021-07-27,1489.41
2021-07-29,16749.12
2021-07-30,-17000.0
2021-08-05,-1187.55
2021-08-12,-2441.98
2021-08-13,700.3
2021-08-16,2259.66
2021-08-18,-2959.0
2021-08-20,2000.0
2021-08-23,-415.155
2021-08-24,-155.7
2021-08-25,-800.0
2021-08-26,-1287.0
2021-08-27,9389.28
2021-08-30,-3411.3900000000003
2021-08-31,21751.15
2021-09-02,-11786.400000000001
2021-09-03,2934.0999999999985
2021-09-06,64772.21000000001
2021-09-07,-1475.08
2021-09-08,41254.03999999999
2021-09-09,3590.6000000000004
2021-09-20,2000.0
2021-10-05,-523.76
2021-10-20,2000.0
2021-11-01,-40000.0
2021-11-05,-707.45
2021-11-08,-800.0
2021-11-15,-14358.8
2021-11-17,113061.4
2021-11-22,2000.0
2021-11-26,-31710.0
2021-12-06,-697.42
2021-12-07,-800.0
2021-12-15,-95060.90000000001
2021-12-17,13078.439999999999
2021-12-20,2000.0
2021-12-21,30.22
2021-12-29,5706.5
2022-01-05,-695.38
2022-01-06,-800.0
2022-01-11,-50822.66
2022-01-12,7708.0
2022-01-13,44265.73
2022-01-18,-2264.0699999999997
2022-01-19,30197.12
2022-01-21,-11800.0
2022-01-24,-8597.81
2022-01-25,2000.0
2022-01-26,67425.3
2022-02-07,-26188.910000000003
2022-02-08,207.65
2022-02-15,0.0
2022-02-16,-10500.0
2022-02-21,-100.0
2022-02-22,-300.0
2022-02-23,-600.0
2022-02-24,-16080.6
2022-02-25,1464.5499999999993
2022-03-07,-528.5699999999999
2022-03-10,-26032.7
2022-03-21,2000.0
2022-03-25,12319.78
2022-03-29,-9963.9
2022-04-04,4429.51
2022-04-05,-487.78000000000003
