isin,symbol,currency,sector,region,country,asset_class
SG1L01001701,D05.SI,SGD,Financial Services,Asia,Singapore,Equity
US3397501012,FND,USD,Consumer Cyclical,Americas,United States,Equity
JP3481200008,3350.T,JPY,Consumer Cyclical,Asia,Japan,Equity
CNE1000003X6,2318.HK,HKD,Financial Services,Asia,China,Equity
US46438F1012,IBIT,USD,Cryptocurrency,Global,Global,ETF
NO0011202772,VAR.OL,NOK,Energy,Nordics,Norway,Equity
ES0105046017,AENA.MC,EUR,Industrials,Europe,Spain,Equity
NO0013642553,DESERT CONTROL AS TR,NOK,,Unknown,,Equity
US02079K3059,GOOGL,USD,Communication Services,Americas,United States,Equity
NO0010161896,DNB.OL,NOK,Financial Services,Nordics,Norway,Equity
US5949181045,MSFT,USD,Technology,Americas,United States,Equity
DE0008404005,ALV.DE,EUR,Financial Services,Europe,Germany,Equity
US0846707026,BRK-B,USD,Financial Services,Americas,United States,Equity
US01609W1027,BABA,USD,Consumer Cyclical,Asia,Hong Kong,Equity
FR0010361683,LYMD.DE,EUR,Broad Market,Asia,India,ETF
IE00BG0J4C88,LOCK.L,EUR,Technology,Global,Multi-country,ETF
IE00BYZK4883,DGTL.MI,EUR,Technology,Global,Multi-country,ETF
IE00BMTD2J60,0P0001K6NJ.IR,NOK,Broad Market,Global,Global,Fund
NO0010096985,EQNR.OL,NOK,Energy,Nordics,Norway,Equity
US0231351067,AMZN,USD,Consumer Cyclical,Americas,United States,Equity
NO0010847619,BULL ALIBABA X3 NORDNET N,NOK,Consumer Cyclical,Asia,Hong Kong,Certificate
IE00BYZK4552,RBOT.L,USD,Technology,Global,Global,ETF
NO0013062323,DESERT CONTROL AS T-RETT,NOK,,Unknown,,Equity
IE00BNNLSM87,0P0001M5YQ.IR,NOK,Technology,Global,Global,Fund
IE00BMTD2S51,0P0001K6NB.IR,NOK,Broad Market,Emerging Markets,Multi-country,Fund
IE00BMTD2X05,0P0001K6NN.IR,NOK,Broad Market,Americas,United States,Equity
IE00BMTD2N07,0P0001K6NF.IR,NOK,Broad Market,Europe,Multi-country,Equity
US2546871060,DIS,USD,Communication Services,Americas,United States,Equity
NO0010612450,SBO.OL,NOK,Real Estate,Nordics,Norway,Equity
LU2009202107,EMXC.L,EUR,Broad Market,Emerging Markets,Multi-country,ETF
NO0003053605,STB.OL,NOK,Financial Services,Nordics,Norway,Equity
US33616C1009,FRCB,USD,Financial Services,Americas,United States,Equity
IE00BYZK4776,HEAL.L,USD,Healthcare,Global,Global,ETF
IE00BZCQB185,QDVE.DE,EUR,Broad Market,Asia,India,ETF
US4511001012,IEP,USD,Energy,Americas,United States,Equity
US4581401001,INTC,USD,Technology,Americas,United States,Equity
US5007676787,KRBN,USD,Commodities,Global,Global,ETF
US92189F6016,NLR,USD,Energy,Global,Global,ETF
US4642852044,IAU,USD,Precious Metals,Global,Global,ETF
NO0006222009,SPOG.OL,NOK,Financial Services,Nordics,Norway,Equity
US91232N2071,USO,USD,Energy,Global,Global,ETF
US00214Q3020,ARKG,USD,Healthcare,Global,Global,ETF
US74347G4322,SQQQ,USD,Technology,Americas,United States,ETF
NO0010848104,BEAR TESLA X1 NORDNET N,NOK,Consumer Cyclical,Americas,United States,Certificate
NO0010963275,DSRT.OL,NOK,Basic Materials,Nordics,Norway,Equity
US7458671010,PHM,USD,Consumer Cyclical,Americas,United States,Equity
IE00BL25JM42,XDEV.DE,USD,Broad Market,Global,Global,ETF
NO0010793961,TRACKER GULL NORDNET,NOK,Precious Metals,Global,Global,Certificate
US46140H4039,DBO,USD,Commodities,Global,Global,ETF
CA0679011084,GOLD,USD,Precious Metals,Americas,United States,Equity
US6516391066,NEM,USD,Basic Materials,Americas,United States,Equity
US4642851053,IAU,USD,Precious Metals,Global,Global,ETF
SE0005993110,0P000134K7.IR,NOK,Broad Market,Nordics,Norway,Fund
IE00B4L5Y983,EUNL.DE,USD,Broad Market,Global,Global,ETF
SE0009723026,XACT-OBX.OL,NOK,Broad Market,Nordics,Norway,ETF
US97717W4713,USDU,USD,Currency,Americas,United States,ETF
US46141D2036,UUP,USD,Currency,Americas,United States,ETF
IE00B4QNHZ41,DES2.DE,EUR,Broad Market,Unknown,Europe,ETF
NO0010662836,0P0000Y66P.IR,NOK,,Unknown,,Fund
US46138W1071,FXY,USD,Currency,Global,Global,ETF
