ISIN,Symbol,Currency
CNE1000003X6,2318.HK,HKD
DE0008404005,ALV.DE,EUR
ES0105046017,AENA.MC,EUR
FR0010361683,LYMD.DE,EUR
IE00BG0J4C88,LOCK.L,EUR
IE00BMTD2S51,0P0001K6NB.IR,NOK
IE00BNNLSM87,0P0001M5YQ.IR,NOK
IE00BYZK4883,DGTL.MI,EUR
JP3481200008,3350.T,JPY
LU2009202107,EMXC.L,EUR
NO0010161896,DNB.OL,NOK
NO0010662836,0P0000Y66P.IR,NOK
NO0010963275,DSRT.OL,NOK
NO0011202772,VAR.OL,NOK
SG1L01001701,D05.SI,SGD
US01609W1027,BABA,USD
US02079K3059,GOOGL,USD
US0231351067,AMZN,USD
US0846707026,BRK-B,USD
US3397501012,FND,USD
US5949181045,MSFT,USD
